ipaddr,hostname,hostid
192.168.2.109,ds-archived,303
192.168.2.110,ds-archived-slave,313
192.168.2.37,ds1200,83
169.44.133.57,ds1201,93
192.168.2.88,ds1201,93
169.44.133.41,ds1202,43
192.168.2.30,ds1202,43
192.168.2.89,ds1203,53
169.44.133.55,ds1204,63
192.168.2.32,ds1204,63
192.168.2.87,ds1205,
192.168.2.43,ds1206,103
192.168.2.94,ds1207,113
192.168.2.45,ds1208,123
192.168.2.100,ds1209,133
192.168.2.57,ds1210,143
192.168.2.58,ds1211,
192.168.2.153,ds1212,343
192.168.2.154,ds1213,353
169.44.133.37,ds1214,183
192.168.2.71,ds1214,183
192.168.2.86,ds1215,193
169.44.133.46,ds1216,203
192.168.2.79,ds1216,203
192.168.2.80,ds1217,213
192.168.2.81,ds1218,223
192.168.2.82,ds1219,233
192.168.2.90,ds1220,243
192.168.2.91,ds1221,253
208.85.150.90,ds1221,253
192.168.2.95,ds1222,263
208.85.150.107,ds1222,263
192.168.2.98,ds1223,273
208.85.150.126,ds1223,273
192.168.2.101,ds1224,283
208.85.150.68,ds1224,283
192.168.2.103,ds1225,293
208.85.150.91,ds1225,293
192.168.2.158,ds1226,363
192.168.2.159,ds1227,373
169.44.133.36,ice-catalog-app03,
192.168.1.88,ice-catalog-app03,
